hotel_name,hotel_url,hotel_location,group_label,brand_label,group_type,lat,lon,formatted_address,provider,confidence,place_id,types,partial_match,status
The St. Regis Longboat Key Resort,https://www.americanexpress.com/en-us/travel/discover/property/Florida-US/Longboat-Key/The-St-Regis-Longboat-Key-Resort?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Longboat-Key-Resort,"Longboat Key, Florida US",FINE HOTELS + RESORTS,St. Regis,Program,27.3527036,-82.6105377,"1601 Gulf of Mexico Dr, Longboat Key, FL 34228, USA",google_places,PLACE_DETAILS,ChIJaRL0syxrw4gRHAo4CxKP9IY,establishment;lodging;point_of_interest,False,CACHED
The St. Regis Macao,https://www.americanexpress.com/en-us/travel/discover/property/China/Macau/The-St-Regis-Macao?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Macao,"Macau, China",FINE HOTELS + RESORTS,St. Regis,Program,22.146745,113.5658947,"Sands Cotai Central Cotai Strip, Macao",google_places,PLACE_DETAILS,ChIJu8Hr3sRxATQRRORUCuDSeEY,establishment;lodging;point_of_interest,False,CACHED
The St. Regis Mexico City,https://www.americanexpress.com/en-us/travel/discover/property/Mexico-City-MX/Mexico-City/The-St-Regis-Mexico-City?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Mexico-City,"Mexico City, Mexico City MX",FINE HOTELS + RESORTS,St. Regis,Program,19.4256338,-99.1720892,"Av. P.º de la Reforma 439, Cuauhtémoc, 06500 Ciudad de México, CDMX, Mexico",google_places,PLACE_DETAILS,ChIJrR704kv_0YURl2pvM1WTF-c,establishment;lodging;point_of_interest,False,CACHED
The St. Regis Al Mouj Muscat Resort,https://www.americanexpress.com/en-us/travel/discover/property/Oman/Muscat/The-St-Regis-Al-Mouj-Muscat-Resort?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Al-Mouj-Muscat-Resort,"Muscat, Oman",FINE HOTELS + RESORTS,St. Regis,Program,23.6185805,58.2851871,"Al Mouj, Muscat, Oman",google_places,PLACE_DETAILS,ChIJeZ3uMxj_jT4RRT8ajpMFAEU,establishment;lodging;point_of_interest,False,CACHED
The St. Regis New York,https://www.americanexpress.com/en-us/travel/discover/property/New-York-US/New-York/The-St-Regis-New-York?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-New-York,"New York, New York US",FINE HOTELS + RESORTS,St. Regis,Program,40.7613979,-73.9746128,"Two E 55th St, New York, NY 10022, USA",google_places,PLACE_DETAILS,ChIJT_kaUvpYwokRJ-Sl4G4kZ_Q,establishment;lodging;point_of_interest,False,CACHED
The Resort at Pelican Hill,https://www.americanexpress.com/en-us/travel/discover/property/California-US/Newport-Beach/The-Resort-At-Pelican-Hill?intlink=US-travel-discover-property-results-propertyCard-The-Resort-At-Pelican-Hill,"Newport Coast, California US",FINE HOTELS + RESORTS,St. Regis,Program,33.5886132,-117.8440267,"22701 S Pelican Hill Rd South, Newport Coast, CA 92657, USA",google_places,PLACE_DETAILS,ChIJyXkdFdng3IAR5FSPyIn-E5M,establishment;lodging;point_of_interest,False,CACHED
The St. Regis Bali Resort,https://www.americanexpress.com/en-us/travel/discover/property/Indonesia/Nusa-Dua/The-St-Regis-Bali-Resort?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Bali-Resort,"Nusa Dua, Indonesia",FINE HOTELS + RESORTS,St. Regis,Program,-8.8128275,115.2264772,"Jl. Raya Nusa Dua Selatan, Benoa, Kec. Kuta Sel., Kabupaten Badung, Bali 80363, Indonesia",google_places,PLACE_DETAILS,ChIJlxcgYM1c0i0RIbLfYRwiJDo,establishment;lodging;point_of_interest,False,CACHED
The St. Regis Osaka,https://www.americanexpress.com/en-us/travel/discover/property/Japan/Osaka/The-St-Regis-Osaka?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Osaka,"Osaka, Japan",FINE HOTELS + RESORTS,St. Regis,Program,34.683343,135.5013987,"3-chōme-6-12 Honmachi, Chuo Ward, Osaka, 541-0053, Japan",google_places,PLACE_DETAILS,ChIJEcBu5h3nAGARa1T7QiewwjM,establishment;lodging;point_of_interest,False,CACHED
The St. Regis Aruba Resort,https://www.americanexpress.com/en-us/travel/discover/property/Aruba/Palm-Beach/The-St-Regis-Aruba-Resort?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Aruba-Resort,"Palm Beach, Aruba",FINE HOTELS + RESORTS,St. Regis,Program,12.5650511,-70.04941889999999,"J.E. Irausquin Blvd 75 E, Noord, Aruba",google_places,PLACE_DETAILS,ChIJyTvSJ3c5hY4R9M_t8xkYm0o,establishment;lodging;point_of_interest,False,CACHED
The St. Regis Mardavall Mallorca Resort,https://www.americanexpress.com/en-us/travel/discover/property/Spain/Palma/The-St-Regis-Mardavall-Mallorca-Resort?intlink=US-travel-discover-property-results-propertyCard-The-St-Regis-Mardavall-Mallorca-Resort,"Palma, Spain",FINE HOTELS + RESORTS,St. Regis,Program,39.528159,2.550929,"Ma-1, 19, 07181 Costa d'en Blanes, Illes Balears, Spain",google_places,PLACE_DETAILS,ChIJCzytnZ-OlxIR6a7hRZcIr94,establishment;lodging;point_of_interest,False,CACHED
